0,0,-,-,-,init_experiment,round_ms=1000 nodes=25
227,1120,localhost/127.0.0.1:8007,DemoCompositeProtocol,mergeC(mergeC(leader-7 || label-7) || mergeC(tree-7 || count-7)),rate,2.00000
228,1124,localhost/127.0.0.1:8008,DemoCompositeProtocol,mergeC(mergeC(leader-8 || label-8) || mergeC(tree-8 || count-8)),merge-update,both
229,1125,localhost/127.0.0.1:8008,MergeCorrelated,mergeC(leader-8 || label-8),merge-update,p1
230,1125,localhost/127.0.0.1:8006,MinAddressLeaderElection,leader-6,state,localhost/127.0.0.1:8006,
231,1125,localhost/127.0.0.1:8006,TreeLabelNodes,label-6,state,label:1
232,1125,localhost/127.0.0.1:8006,SpanningTree,tree-6,state,root=true dist=0 parent=null children=
233,1126,localhost/127.0.0.1:8006,TreeCountNodes,count-6,state,subtree-size:1   child subtrees: 
234,1126,localhost/127.0.0.1:8008,MergeCorrelated,mergeC(tree-8 || count-8),merge-update,p1
235,1126,localhost/127.0.0.1:8020,MinAddressLeaderElection,leader-20,state,localhost/127.0.0.1:8008,
236,1126,localhost/127.0.0.1:8020,TreeLabelNodes,label-20,state,label:1
237,1126,localhost/127.0.0.1:8020,SpanningTree,tree-20,state,root=false dist=1 parent=localhost/127.0.0.1:8008 children=
238,1126,localhost/127.0.0.1:8020,TreeCountNodes,count-20,state,subtree-size:1   child subtrees: 
239,1129,localhost/127.0.0.1:8011,DemoCompositeProtocol,mergeC(mergeC(leader-11 || label-11) || mergeC(tree-11 || count-11)),select,localhost/127.0.0.1:8018
240,1129,localhost/127.0.0.1:8012,DemoCompositeProtocol,mergeC(mergeC(leader-12 || label-12) || mergeC(tree-12 || count-12)),merge-update,both
241,1130,localhost/127.0.0.1:8012,MergeCorrelated,mergeC(leader-12 || label-12),merge-update,p1
242,1131,localhost/127.0.0.1:8015,DemoCompositeProtocol,mergeC(mergeC(leader-15 || label-15) || mergeC(tree-15 || count-15)),select,localhost/127.0.0.1:8005
243,1131,localhost/127.0.0.1:8012,MergeCorrelated,mergeC(tree-12 || count-12),merge-update,p1
244,1131,localhost/127.0.0.1:8022,MinAddressLeaderElection,leader-22,state,localhost/127.0.0.1:8000,
245,1131,localhost/127.0.0.1:8022,TreeLabelNodes,label-22,state,label:1
246,1132,localhost/127.0.0.1:8022,SpanningTree,tree-22,state,root=false dist=1 parent=localhost/127.0.0.1:8000 children=localhost/127.0.0.1:8012|
247,1132,localhost/127.0.0.1:8022,TreeCountNodes,count-22,state,subtree-size:1   child subtrees: localhost/127.0.0.1:8012=1 
